source,target
3118435522,196655779
3118435522,1295356224481955840
3118435522,904314281902071809
3118435522,1295630835228348416
3118435522,3271715605
3118435522,137017726
3118435522,822862406523219968
3118435522,1232212721170407424
3118435522,2360798359
3118435522,1606048885
3118435522,31348594
3118435522,18839785
3118435522,1226794397083168774
3118435522,785547902236098560
3118435522,18861574
1424601053983506436,1191778307752288256
1424601053983506436,701840411460026370
1424601053983506436,1435180312498036736
1424601053983506436,702688843934277632
1424601053983506436,2842068128
1424601053983506436,471741741
1424601053983506436,2997035802
1424601053983506436,764120120549670913
1424601053983506436,909850150494863360
1424601053983506436,1599057055
950380084237500417,1419324590
950380084237500417,374644806
950380084237500417,286505380
950380084237500417,3583500497
950380084237500417,20523846
950380084237500417,1230550898616586242
950380084237500417,1232012105877983237
950380084237500417,4512753912
950380084237500417,380749300
1317853753,822518487675305984
1317853753,14879002
1317853753,133818287
1317853753,1273759306039558145
1317853753,840010544425889792
1317853753,360254234
1317853753,2166434343
1317853753,312681953
1317853753,268408352
1317853753,945817135816654848
374644806,1161349573224407041
374644806,1779169194
374644806,1293965388724809729
374644806,1489956048010100736
374644806,1262319351216001024
374644806,1067074290019913728
374644806,420512951
374644806,3386206996
374644806,1415526330167271424
374644806,1127984530529214464
1395429202946494465,758172291754823680
1395429202946494465,16573941
1395429202946494465,955744720092835841
1395429202946494465,2253142422
1395429202946494465,167426768
1395429202946494465,1369346961116192769
1395429202946494465,359999669
1395429202946494465,246797553
1395429202946494465,914029581610377217
1390949805526900736,20309234
1390949805526900736,1200214398
1390949805526900736,376847635
1390949805526900736,1212241811676119040
1390949805526900736,959285621490515969
1390949805526900736,18927441
1390949805526900736,213969309
1390949805526900736,1143472657
1390949805526900736,26235265
1390949805526900736,1028946208381853698
1174491756294918146,297759273
1174491756294918146,884765180302938112
1174491756294918146,1243264807840542721
1174491756294918146,1033152632527892480
1174491756294918146,2391232105
1174491756294918146,3981942198
1174491756294918146,1429480158
1174491756294918146,1409798257
323319539,815113027171192832
323319539,14334757
323319539,2426313439
323319539,1111976778065723393
323319539,20793816
323319539,702932794947694592
323319539,451649471
323319539,835149034000158721
323319539,35714345
323319539,745437121
41533816,256431855
41533816,1324715353
41533816,2981578354
41533816,1349154719386775552
41533816,80568825
41533816,1357202502454804481
41533816,2214447931
41533816,3194592704
41533816,1428113028353073154
41533816,1195025771368239106
84155547,19109172
84155547,259403099
84155547,837734029734600704
84155547,263724360
84155547,62507687
84155547,3194592704
84155547,1428113028353073154
84155547,285707150
84155547,2530334922
84155547,156653779
196655779,558654135
196655779,253058011
196655779,28185163
196655779,233139714
196655779,507662284
196655779,1171011802768928769
196655779,1116243378432356353
196655779,430584628
196655779,1066815760054591488
196655779,218972688
196655779,95891155
196655779,69008563
196655779,402363096
196655779,108252113
196655779,14120922
196655779,1381973348607926272
196655779,27737538
196655779,259725229
196655779,28360912
196655779,14601788
